event_id,appointment_id,event_at,event_type
E00100,A0034,2026-01-13T17:00,Booked
E00101,A0034,2026-01-15T15:00,CheckedIn
E00102,A0034,2026-01-15T18:00,Closed
E00103,A0035,2026-01-14T01:00,Booked
E00104,A0035,2026-01-15T23:00,CheckedIn
E00105,A0035,2026-01-16T02:00,Closed
E00106,A0036,2026-01-14T09:00,Booked
E00107,A0036,2026-01-16T07:00,CheckedIn
E00108,A0036,2026-01-16T10:00,Closed
E00109,A0037,2026-01-14T17:00,Booked
E00110,A0037,2026-01-16T15:00,CheckedIn
E00111,A0037,2026-01-16T18:00,Closed
E00112,A0038,2026-01-15T01:00,Booked
E00113,A0038,2026-01-16T23:00,CheckedIn
E00114,A0038,2026-01-17T02:00,Closed
E00115,A0039,2026-01-15T09:00,Booked
E00116,A0039,2026-01-17T07:00,CheckedIn
E00117,A0039,2026-01-17T10:00,Closed
E00118,A0040,2026-01-16T17:00,Booked
E00119,A0040,2026-01-18T15:00,CheckedIn
E00120,A0040,2026-01-18T18:00,Closed
E00121,A0041,2026-01-17T01:00,Booked
E00122,A0041,2026-01-18T23:00,CheckedIn
E00123,A0041,2026-01-19T02:00,Closed
E00124,A0042,2026-01-17T09:00,Booked
E00125,A0042,2026-01-19T07:00,CheckedIn
E00126,A0042,2026-01-19T10:00,Closed
E00127,A0043,2026-01-17T17:00,Booked
E00128,A0043,2026-01-19T15:00,CheckedIn
E00129,A0043,2026-01-19T18:00,Closed
E00130,A0044,2026-01-18T01:00,Booked
E00131,A0044,2026-01-19T23:00,CheckedIn
E00132,A0044,2026-01-20T02:00,Closed
E00133,A0045,2026-01-18T09:00,Booked
E00134,A0045,2026-01-20T07:00,CheckedIn
E00135,A0045,2026-01-20T10:00,Closed
E00136,A0046,2026-01-18T17:00,Booked
E00137,A0046,2026-01-20T15:00,CheckedIn
E00138,A0046,2026-01-20T18:00,Closed
E00139,A0047,2026-01-19T01:00,Booked
E00140,A0047,2026-01-20T23:00,CheckedIn
E00141,A0047,2026-01-21T02:00,Closed
E00142,A0048,2026-01-19T09:00,Booked
E00143,A0048,2026-01-21T07:00,CheckedIn
E00144,A0048,2026-01-21T10:00,Closed
E00145,A0049,2026-01-19T17:00,Booked
E00146,A0049,2026-01-21T15:00,CheckedIn
E00147,A0049,2026-01-21T18:00,Closed
E00148,A0050,2026-01-20T01:00,Booked
E00149,A0050,2026-01-21T23:00,CheckedIn
E00150,A0050,2026-01-22T02:00,Closed
E00151,A0051,2026-01-20T09:00,Booked
E00152,A0051,2026-01-22T07:00,CheckedIn
E00153,A0051,2026-01-22T10:00,Closed
E00154,A0052,2026-01-20T17:00,Booked
E00155,A0052,2026-01-22T15:00,CheckedIn
E00156,A0052,2026-01-22T18:00,Closed
E00157,A0053,2026-01-21T01:00,Booked
E00158,A0053,2026-01-22T23:00,CheckedIn
E00159,A0053,2026-01-23T02:00,Closed
E00160,A0054,2026-01-21T09:00,Booked
E00161,A0054,2026-01-23T07:00,CheckedIn
E00162,A0054,2026-01-23T10:00,Closed
E00163,A0055,2026-01-21T17:00,Booked
E00164,A0055,2026-01-23T15:00,CheckedIn
E00165,A0055,2026-01-23T18:00,Closed
E00166,A0056,2026-01-22T01:00,Booked
E00167,A0056,2026-01-23T23:00,CheckedIn
E00168,A0056,2026-01-24T02:00,Closed
E00169,A0057,2026-01-22T09:00,Booked
E00170,A0057,2026-01-24T07:00,CheckedIn
E00171,A0057,2026-01-24T10:00,Closed
E00172,A0058,2026-01-22T17:00,Booked
E00173,A0058,2026-01-24T15:00,CheckedIn
E00174,A0058,2026-01-24T18:00,Closed
E00175,A0059,2026-01-23T01:00,Booked
E00176,A0059,2026-01-24T23:00,CheckedIn
E00177,A0059,2026-01-25T02:00,Closed
E00178,A0060,2026-01-24T09:00,Booked
E00179,A0060,2026-01-26T07:00,CheckedIn
E00180,A0060,2026-01-26T10:00,Closed
E00181,A0061,2026-01-24T17:00,Booked
E00182,A0061,2026-01-26T15:00,CheckedIn
E00183,A0061,2026-01-26T18:00,Closed
E00184,A0062,2026-01-25T01:00,Booked
E00185,A0062,2026-01-26T23:00,CheckedIn
E00186,A0062,2026-01-27T02:00,Closed
E00187,A0063,2026-01-25T09:00,Booked
E00188,A0063,2026-01-27T07:00,CheckedIn
E00189,A0063,2026-01-27T10:00,Closed
E00190,A0064,2026-01-25T17:00,Booked
E00191,A0064,2026-01-27T15:00,CheckedIn
E00192,A0064,2026-01-27T18:00,Closed
E00193,A0065,2026-01-26T01:00,Booked
E00194,A0065,2026-01-27T23:00,CheckedIn
E00195,A0065,2026-01-28T02:00,Closed
E00196,A0066,2026-01-26T09:00,Booked
E00197,A0066,2026-01-28T07:00,CheckedIn
E00198,A0066,2026-01-28T10:00,Closed
E00199,A0067,2026-01-26T17:00,Booked
E00200,A0067,2026-01-28T15:00,CheckedIn
E00201,A0067,2026-01-28T18:00,Closed
E00202,A0068,2026-01-27T01:00,Booked
E00203,A0068,2026-01-28T23:00,CheckedIn
E00204,A0068,2026-01-29T02:00,Closed
E00205,A0069,2026-01-27T09:00,Booked
E00206,A0069,2026-01-29T07:00,CheckedIn
E00207,A0069,2026-01-29T10:00,Closed
E00208,A0070,2026-01-27T17:00,Booked
E00209,A0070,2026-01-29T15:00,CheckedIn
E00210,A0070,2026-01-29T18:00,Closed
E00211,A0071,2026-01-28T01:00,Booked
E00212,A0071,2026-01-29T23:00,CheckedIn
E00213,A0071,2026-01-30T02:00,Closed
E00214,A0072,2026-01-28T09:00,Booked
E00215,A0072,2026-01-30T07:00,CheckedIn
E00216,A0072,2026-01-30T10:00,Closed
E00217,A0073,2026-01-28T17:00,Booked
E00218,A0073,2026-01-30T15:00,CheckedIn
E00219,A0073,2026-01-30T18:00,Closed
E00220,A0074,2026-01-29T01:00,Booked
E00221,A0074,2026-01-30T23:00,CheckedIn
E00222,A0074,2026-01-31T02:00,Closed
E00223,A0075,2026-01-29T09:00,Booked
E00224,A0075,2026-01-31T07:00,CheckedIn
E00225,A0075,2026-01-31T10:00,Closed
E00226,A0076,2026-01-29T17:00,Booked
E00227,A0076,2026-01-31T15:00,CheckedIn
E00228,A0076,2026-01-31T18:00,Closed
E00229,A0077,2026-01-30T01:00,Booked
E00230,A0077,2026-01-31T23:00,CheckedIn
E00231,A0077,2026-02-01T02:00,Closed
E00232,A0078,2026-01-30T09:00,Booked
E00233,A0078,2026-02-01T07:00,CheckedIn
E00234,A0078,2026-02-01T10:00,Closed
E00235,A0079,2026-01-30T17:00,Booked
E00236,A0079,2026-02-01T15:00,CheckedIn
E00237,A0079,2026-02-01T18:00,Closed
E00238,A0080,2026-02-01T01:00,Booked
E00239,A0080,2026-02-02T23:00,CheckedIn
E00240,A0080,2026-02-03T02:00,Closed
E00241,A0081,2026-02-01T09:00,Booked
E00242,A0081,2026-02-03T07:00,CheckedIn
E00243,A0081,2026-02-03T10:00,Closed
E00244,A0082,2026-02-01T17:00,Booked
E00245,A0082,2026-02-03T15:00,CheckedIn
E00246,A0082,2026-02-03T18:00,Closed
E00247,A0083,2026-02-02T01:00,Booked
E00248,A0083,2026-02-03T23:00,CheckedIn
E00249,A0083,2026-02-04T02:00,Closed
E00250,A0084,2026-02-02T09:00,Booked
E00251,A0084,2026-02-04T07:00,CheckedIn
E00252,A0084,2026-02-04T10:00,Closed
E00253,A0085,2026-02-02T17:00,Booked
E00254,A0085,2026-02-04T15:00,CheckedIn
E00255,A0085,2026-02-04T18:00,Closed
E00256,A0086,2026-02-03T01:00,Booked
E00257,A0086,2026-02-04T23:00,CheckedIn
E00258,A0086,2026-02-05T02:00,Closed
E00259,A0087,2026-02-03T09:00,Booked
E00260,A0087,2026-02-05T07:00,CheckedIn
E00261,A0087,2026-02-05T10:00,Closed
E00262,A0088,2026-02-03T17:00,Booked
E00263,A0088,2026-02-05T15:00,CheckedIn
E00264,A0088,2026-02-05T18:00,Closed
E00265,A0089,2026-02-04T01:00,Booked
E00266,A0089,2026-02-05T23:00,CheckedIn
E00267,A0089,2026-02-06T02:00,Closed
E00268,A0090,2026-02-04T09:00,Booked
E00269,A0090,2026-02-06T07:00,CheckedIn
E00270,A0090,2026-02-06T10:00,Closed
E00271,A0091,2026-02-04T17:00,Booked
E00272,A0091,2026-02-06T15:00,CheckedIn
E00273,A0091,2026-02-06T18:00,Closed
E00274,A0092,2026-02-05T01:00,Booked
E00275,A0092,2026-02-06T23:00,CheckedIn
E00276,A0092,2026-02-07T02:00,Closed
E00277,A0093,2026-02-05T09:00,Booked
E00278,A0093,2026-02-07T07:00,CheckedIn
E00279,A0093,2026-02-07T10:00,Closed
E00280,A0094,2026-02-05T17:00,Booked
E00281,A0094,2026-02-07T15:00,CheckedIn
E00282,A0094,2026-02-07T18:00,Closed
E00283,A0095,2026-02-06T01:00,Booked
E00284,A0095,2026-02-07T23:00,CheckedIn
E00285,A0095,2026-02-08T02:00,Closed
E00286,A0096,2026-02-06T09:00,Booked
E00287,A0096,2026-02-08T07:00,CheckedIn
E00288,A0096,2026-02-08T10:00,Closed
E00289,A9999,2026-02-14T10:00,Closed
