event_id,shipment_id,event_type,event_ts
78,1026,delivered,2026-02-23 09:00:00
79,1027,booked,2026-02-22 10:00:00
80,1027,picked_up,2026-02-24 10:00:00
81,1027,delivered,2026-02-27 10:00:00
82,1028,booked,2026-02-24 11:00:00
83,1028,picked_up,2026-02-24 11:00:00
84,1028,delivered,2026-02-28 11:00:00
85,1029,booked,2026-02-26 12:00:00
86,1029,picked_up,2026-02-27 12:00:00
87,1029,delivered,2026-02-28 12:00:00
88,1030,booked,2026-02-28 13:00:00
89,1030,picked_up,2026-03-02 13:00:00
90,1030,delivered,2026-03-04 13:00:00
91,1031,booked,2026-03-02 14:00:00
92,1031,picked_up,2026-03-02 14:00:00
93,1031,delivered,2026-03-05 14:00:00
94,1032,booked,2026-03-04 15:00:00
95,1032,picked_up,2026-03-05 15:00:00
96,1032,delivered,2026-03-09 15:00:00
97,1033,booked,2026-03-06 08:00:00
98,1033,picked_up,2026-03-08 08:00:00
99,1033,delivered,2026-03-09 08:00:00
100,1034,booked,2026-03-08 09:00:00
101,1034,picked_up,2026-03-08 09:00:00
102,1034,delivered,2026-03-10 09:00:00
103,1035,booked,2026-03-10 10:00:00
104,1035,picked_up,2026-03-11 10:00:00
105,1035,delivered,2026-03-14 10:00:00
106,1036,booked,2026-03-12 11:00:00
107,1036,picked_up,2026-03-14 11:00:00
108,1036,delivered,2026-03-18 11:00:00
109,1037,booked,2026-03-14 12:00:00
110,1037,picked_up,2026-03-14 12:00:00
111,1037,delivered,2026-03-15 12:00:00
112,1038,booked,2026-03-16 13:00:00
113,1038,picked_up,2026-03-17 13:00:00
114,1038,delivered,2026-03-19 13:00:00
115,1039,booked,2026-03-18 14:00:00
116,1039,picked_up,2026-03-20 14:00:00
117,1039,delivered,2026-03-23 14:00:00
118,1040,booked,2026-03-20 15:00:00
119,1040,picked_up,2026-03-20 15:00:00
120,1040,delivered,2026-03-24 15:00:00
121,1041,booked,2026-03-22 08:00:00
122,1041,picked_up,2026-03-23 08:00:00
123,1041,delivered,2026-03-24 08:00:00
124,1042,booked,2026-03-24 09:00:00
125,1042,picked_up,2026-03-26 09:00:00
126,1042,delivered,2026-03-28 09:00:00
127,1043,booked,2026-03-26 10:00:00
128,1043,picked_up,2026-03-26 10:00:00
129,1043,delivered,2026-03-29 10:00:00
130,1044,booked,2026-01-02 11:00:00
131,1044,picked_up,2026-01-03 11:00:00
132,1044,delivered,2026-01-07 11:00:00
133,1045,booked,2026-01-04 12:00:00
134,1045,picked_up,2026-01-06 12:00:00
135,1045,delivered,2026-01-07 12:00:00
136,1046,booked,2026-01-06 13:00:00
137,1046,picked_up,2026-01-06 13:00:00
138,1046,delivered,2026-01-08 13:00:00
139,1047,booked,2026-01-08 14:00:00
140,1047,picked_up,2026-01-09 14:00:00
141,1047,delivered,2026-01-12 14:00:00
142,1048,booked,2026-01-10 15:00:00
143,1048,picked_up,2026-01-12 15:00:00
144,1048,delivered,2026-01-16 15:00:00
145,1049,booked,2026-01-12 08:00:00
146,1049,picked_up,2026-01-12 08:00:00
147,1049,delivered,2026-01-13 08:00:00
148,1050,booked,2026-01-14 09:00:00
149,1050,picked_up,2026-01-15 09:00:00
150,1050,delivered,2026-01-17 09:00:00
151,1051,booked,2026-01-16 10:00:00
152,1051,picked_up,2026-01-18 10:00:00
153,1051,delivered,2026-01-21 10:00:00
154,1052,booked,2026-01-18 11:00:00
155,1052,picked_up,2026-01-18 11:00:00
156,1052,delivered,2026-01-22 11:00:00
157,1053,booked,2026-01-20 12:00:00
158,1053,picked_up,2026-01-21 12:00:00
159,1053,delivered,2026-01-22 12:00:00
160,1054,booked,2026-01-22 13:00:00
161,1054,picked_up,2026-01-24 13:00:00
162,1054,delivered,2026-01-26 13:00:00
163,1055,booked,2026-01-24 14:00:00
164,1055,picked_up,2026-01-24 14:00:00
165,1055,delivered,2026-01-27 14:00:00
166,1056,booked,2026-01-26 15:00:00
167,1056,picked_up,2026-01-27 15:00:00
168,1056,delivered,2026-01-31 15:00:00
169,1057,booked,2026-01-28 08:00:00
170,1057,picked_up,2026-01-30 08:00:00
171,1057,delivered,2026-01-31 08:00:00
172,1058,booked,2026-01-30 09:00:00
173,1058,picked_up,2026-01-30 09:00:00
174,1058,delivered,2026-02-01 09:00:00
175,1059,booked,2026-02-01 10:00:00
176,1059,picked_up,2026-02-02 10:00:00
177,1059,delivered,2026-02-05 10:00:00
178,1060,booked,2026-02-03 11:00:00
179,1060,picked_up,2026-02-05 11:00:00
180,1060,delivered,2026-02-09 11:00:00
181,1061,booked,2026-02-05 12:00:00
182,1061,picked_up,2026-02-05 12:00:00
183,1061,delivered,2026-02-06 12:00:00
184,1062,booked,2026-02-07 13:00:00
185,1062,picked_up,2026-02-08 13:00:00
186,1062,delivered,2026-02-10 13:00:00
187,1063,booked,2026-02-09 14:00:00
188,1063,picked_up,2026-02-11 14:00:00
189,1063,delivered,2026-02-14 14:00:00
190,1064,booked,2026-02-11 15:00:00
191,1064,picked_up,2026-02-11 15:00:00
192,1064,delivered,2026-02-15 15:00:00
193,1065,booked,2026-02-13 08:00:00
194,1065,picked_up,2026-02-14 08:00:00
195,1065,delivered,2026-02-15 08:00:00
196,1066,booked,2026-02-15 09:00:00
197,1066,picked_up,2026-02-17 09:00:00
198,1066,delivered,2026-02-19 09:00:00
199,1067,booked,2026-02-17 10:00:00
200,1067,picked_up,2026-02-17 10:00:00
201,1067,delivered,2026-02-20 10:00:00
202,1068,booked,2026-02-19 11:00:00
203,1068,picked_up,2026-02-20 11:00:00
204,1068,delivered,2026-02-24 11:00:00
205,1069,booked,2026-02-21 12:00:00
206,1069,picked_up,2026-02-23 12:00:00
207,1069,delivered,2026-02-24 12:00:00
208,1070,booked,2026-02-23 13:00:00
209,1070,picked_up,2026-02-23 13:00:00
210,1070,delivered,2026-02-25 13:00:00
211,1071,booked,2026-02-25 14:00:00
212,1071,picked_up,2026-02-26 14:00:00
213,1071,delivered,2026-03-01 14:00:00
214,1072,booked,2026-02-27 15:00:00
215,1072,picked_up,2026-03-01 15:00:00
216,1072,delivered,2026-03-05 15:00:00
