event_id,delivery_id,event_type,event_ts
E0212,D021,PICKED_UP,2026-04-08T12:27:00
E0213,D021,DELIVERED,2026-04-08T13:27:00
E0221,D022,ORDERED,2026-04-08T11:34:00
E0222,D022,PICKED_UP,2026-04-08T12:34:00
E0223,D022,DELIVERED,2026-04-08T13:34:00
E0231,D023,ORDERED,2026-04-09T11:41:00
E0232,D023,PICKED_UP,2026-04-09T12:41:00
E0233,D023,DELIVERED,2026-04-09T13:41:00
E0241,D024,ORDERED,2026-04-10T11:48:00
E0242,D024,PICKED_UP,2026-04-10T12:48:00
E0243,D024,DELIVERED,2026-04-10T13:48:00
E0251,D025,ORDERED,2026-04-11T11:55:00
E0252,D025,PICKED_UP,2026-04-11T12:55:00
E0253,D025,DELIVERED,2026-04-11T13:55:00
E0261,D026,ORDERED,2026-04-12T11:02:00
E0262,D026,PICKED_UP,2026-04-12T12:02:00
E0263,D026,DELIVERED,2026-04-12T13:02:00
E0271,D027,ORDERED,2026-04-13T11:09:00
E0272,D027,PICKED_UP,2026-04-13T12:09:00
E0273,D027,DELIVERED,2026-04-14T13:09:00
E0281,D028,ORDERED,2026-04-14T11:16:00
E0282,D028,PICKED_UP,2026-04-15T12:16:00
E0283,D028,DELIVERED,2026-04-15T13:16:00
E0291,D029,ORDERED,2026-04-01T11:23:00
E0292,D029,PICKED_UP,2026-04-01T12:23:00
E0293,D029,DELIVERED,2026-04-01T13:23:00
E0301,D030,ORDERED,2026-04-02T11:30:00
E0302,D030,PICKED_UP,2026-04-02T12:30:00
E0303,D030,DELIVERED,2026-04-02T13:30:00
E0311,D031,ORDERED,2026-04-03T11:37:00
E0312,D031,PICKED_UP,2026-04-03T12:37:00
E0313,D031,DELIVERED,2026-04-03T13:37:00
E0321,D032,ORDERED,2026-04-04T11:44:00
E0322,D032,PICKED_UP,2026-04-04T12:44:00
E0323,D032,DELIVERED,2026-04-04T13:44:00
E0331,D033,ORDERED,2026-04-05T11:51:00
E0332,D033,PICKED_UP,2026-04-05T12:51:00
E0333,D033,DELIVERED,2026-04-05T13:51:00
E0341,D034,ORDERED,2026-04-06T11:58:00
E0342,D034,PICKED_UP,2026-04-06T12:58:00
E0343,D034,DELIVERED,2026-04-06T13:58:00
E0351,D035,ORDERED,2026-04-07T11:05:00
E0352,D035,PICKED_UP,2026-04-08T12:05:00
E0353,D035,DELIVERED,2026-04-08T13:05:00
E0361,D036,ORDERED,2026-04-08T11:12:00
E0362,D036,PICKED_UP,2026-04-08T12:12:00
E0363,D036,DELIVERED,2026-04-09T13:12:00
E0371,D037,ORDERED,2026-04-09T11:19:00
E0372,D037,PICKED_UP,2026-04-09T12:19:00
E0373,D037,DELIVERED,2026-04-09T13:19:00
E0381,D038,ORDERED,2026-04-10T11:26:00
E0382,D038,PICKED_UP,2026-04-10T12:26:00
E0383,D038,DELIVERED,2026-04-10T13:26:00
E0391,D039,ORDERED,2026-04-11T11:33:00
E0392,D039,PICKED_UP,2026-04-11T12:33:00
E0393,D039,DELIVERED,2026-04-11T13:33:00
E0401,D040,ORDERED,2026-04-12T11:40:00
E0402,D040,PICKED_UP,2026-04-12T12:40:00
E0403,D040,DELIVERED,2026-04-12T13:40:00
