event_id,ride_id,event_type,event_ts
65,1018,requested,2026-02-04 08:51:00
66,1018,accepted,2026-02-04 08:51:00
67,1018,started,2026-02-04 09:51:00
68,1018,completed,2026-02-04 10:25:00
69,1019,requested,2026-02-06 08:54:00
70,1019,accepted,2026-02-06 08:54:00
71,1019,started,2026-02-06 09:54:00
72,1019,completed,2026-02-06 10:30:00
73,1020,requested,2026-02-08 08:57:00
74,1020,accepted,2026-02-08 08:57:00
75,1020,started,2026-02-08 09:57:00
76,1021,requested,2026-02-10 08:00:00
77,1021,accepted,2026-02-10 08:00:00
78,1021,started,2026-02-10 09:00:00
79,1021,completed,2026-02-10 10:40:00
80,1022,requested,2026-02-12 08:03:00
81,1022,accepted,2026-02-12 08:03:00
82,1022,started,2026-02-12 09:03:00
83,1022,completed,2026-02-12 10:45:00
84,1023,requested,2026-02-14 08:06:00
85,1023,accepted,2026-02-14 08:06:00
86,1023,started,2026-02-14 09:06:00
87,1023,completed,2026-02-14 10:50:00
88,1024,requested,2026-02-16 08:09:00
89,1024,accepted,2026-02-16 08:09:00
90,1024,started,2026-02-16 09:09:00
91,1025,requested,2026-02-18 08:12:00
92,1025,accepted,2026-02-18 08:12:00
93,1025,started,2026-02-18 09:12:00
94,1025,completed,2026-02-18 10:00:00
95,1026,requested,2026-02-20 08:15:00
96,1026,accepted,2026-02-20 08:15:00
97,1026,started,2026-02-20 09:15:00
98,1026,completed,2026-02-20 10:05:00
99,1027,requested,2026-02-22 08:18:00
100,1027,accepted,2026-02-22 08:18:00
101,1027,started,2026-02-22 09:18:00
102,1027,completed,2026-02-22 10:10:00
103,1028,requested,2026-02-24 08:21:00
104,1028,accepted,2026-02-24 08:21:00
105,1028,started,2026-02-24 09:21:00
106,1029,requested,2026-02-26 08:24:00
107,1029,accepted,2026-02-26 08:24:00
108,1029,started,2026-02-26 09:24:00
109,1029,completed,2026-02-26 10:20:00
110,1030,requested,2026-02-28 08:27:00
111,1030,accepted,2026-02-28 08:27:00
112,1030,started,2026-02-28 09:27:00
113,1030,completed,2026-02-28 10:25:00
114,1031,requested,2026-03-02 08:30:00
115,1031,accepted,2026-03-02 08:30:00
116,1031,started,2026-03-02 09:30:00
117,1031,completed,2026-03-02 10:30:00
118,1032,requested,2026-03-04 08:33:00
119,1032,accepted,2026-03-04 08:33:00
120,1032,started,2026-03-04 09:33:00
121,1033,requested,2026-03-06 08:36:00
122,1033,accepted,2026-03-06 08:36:00
123,1033,started,2026-03-06 09:36:00
124,1033,completed,2026-03-06 10:40:00
125,1034,requested,2026-03-08 08:39:00
126,1034,accepted,2026-03-08 08:39:00
127,1034,started,2026-03-08 09:39:00
128,1034,completed,2026-03-08 10:45:00
129,1035,requested,2026-03-10 08:42:00
130,1035,accepted,2026-03-10 08:42:00
131,1035,started,2026-03-10 09:42:00
132,1035,completed,2026-03-10 10:50:00
133,1036,requested,2026-03-12 08:45:00
134,1036,accepted,2026-03-12 08:45:00
135,1036,started,2026-03-12 09:45:00
136,1037,requested,2026-03-14 08:48:00
137,1037,accepted,2026-03-14 08:48:00
138,1037,started,2026-03-14 09:48:00
139,1037,completed,2026-03-14 10:00:00
140,1038,requested,2026-03-16 08:51:00
141,1038,accepted,2026-03-16 08:51:00
142,1038,started,2026-03-16 09:51:00
143,1038,completed,2026-03-16 10:05:00
144,1039,requested,2026-03-18 08:54:00
145,1039,accepted,2026-03-18 08:54:00
146,1039,started,2026-03-18 09:54:00
147,1039,completed,2026-03-18 10:10:00
148,1040,requested,2026-03-20 08:57:00
149,1040,accepted,2026-03-20 08:57:00
150,1040,started,2026-03-20 09:57:00
151,1041,requested,2026-03-22 08:00:00
152,1041,accepted,2026-03-22 08:00:00
153,1041,started,2026-03-22 09:00:00
154,1041,completed,2026-03-22 10:20:00
155,1042,requested,2026-03-24 08:03:00
156,1042,accepted,2026-03-24 08:03:00
157,1042,started,2026-03-24 09:03:00
158,1042,completed,2026-03-24 10:25:00
159,1043,requested,2026-03-26 08:06:00
160,1043,accepted,2026-03-26 08:06:00
161,1043,started,2026-03-26 09:06:00
162,1043,completed,2026-03-26 10:30:00
163,1044,requested,2026-03-28 08:09:00
164,1044,accepted,2026-03-28 08:09:00
165,1044,started,2026-03-28 09:09:00
166,1045,requested,2026-01-01 08:12:00
167,1045,accepted,2026-01-01 08:12:00
168,1045,started,2026-01-01 09:12:00
169,1045,completed,2026-01-01 10:40:00
170,1046,requested,2026-01-03 08:15:00
171,1046,accepted,2026-01-03 08:15:00
172,1046,started,2026-01-03 09:15:00
173,1046,completed,2026-01-03 10:45:00
174,1047,requested,2026-01-05 08:18:00
175,1047,accepted,2026-01-05 08:18:00
176,1047,started,2026-01-05 09:18:00
177,1047,completed,2026-01-05 10:50:00
178,1048,requested,2026-01-07 08:21:00
179,1048,accepted,2026-01-07 08:21:00
180,1048,started,2026-01-07 09:21:00
181,1049,requested,2026-01-09 08:24:00
182,1049,accepted,2026-01-09 08:24:00
183,1049,started,2026-01-09 09:24:00
184,1049,completed,2026-01-09 10:00:00
185,1050,requested,2026-01-11 08:27:00
186,1050,accepted,2026-01-11 08:27:00
187,1050,started,2026-01-11 09:27:00
188,1050,completed,2026-01-11 10:05:00
189,1051,requested,2026-01-13 08:30:00
190,1051,accepted,2026-01-13 08:30:00
191,1051,started,2026-01-13 09:30:00
192,1051,completed,2026-01-13 10:10:00
193,1052,requested,2026-01-15 08:33:00
194,1052,accepted,2026-01-15 08:33:00
195,1052,started,2026-01-15 09:33:00
196,1053,requested,2026-01-17 08:36:00
197,1053,accepted,2026-01-17 08:36:00
198,1053,started,2026-01-17 09:36:00
199,1053,completed,2026-01-17 10:20:00
200,1054,requested,2026-01-19 08:39:00
201,1054,accepted,2026-01-19 08:39:00
202,1054,started,2026-01-19 09:39:00
203,1054,completed,2026-01-19 10:25:00
204,1055,requested,2026-01-21 08:42:00
205,1055,accepted,2026-01-21 08:42:00
206,1055,started,2026-01-21 09:42:00
207,1055,completed,2026-01-21 10:30:00
208,1056,requested,2026-01-23 08:45:00
209,1056,accepted,2026-01-23 08:45:00
210,1056,started,2026-01-23 09:45:00
211,1057,requested,2026-01-25 08:48:00
212,1057,accepted,2026-01-25 08:48:00
213,1057,started,2026-01-25 09:48:00
214,1057,completed,2026-01-25 10:40:00
215,1058,requested,2026-01-27 08:51:00
216,1058,accepted,2026-01-27 08:51:00
217,1058,started,2026-01-27 09:51:00
218,1058,completed,2026-01-27 10:45:00
219,1059,requested,2026-01-29 08:54:00
220,1059,accepted,2026-01-29 08:54:00
221,1059,started,2026-01-29 09:54:00
222,1059,completed,2026-01-29 10:50:00
223,1060,requested,2026-01-31 08:57:00
224,1060,accepted,2026-01-31 08:57:00
225,1060,started,2026-01-31 09:57:00
226,1061,requested,2026-02-02 08:00:00
227,1061,accepted,2026-02-02 08:00:00
228,1061,started,2026-02-02 09:00:00
229,1061,completed,2026-02-02 10:00:00
230,1062,requested,2026-02-04 08:03:00
231,1062,accepted,2026-02-04 08:03:00
232,1062,started,2026-02-04 09:03:00
233,1062,completed,2026-02-04 10:05:00
234,1063,requested,2026-02-06 08:06:00
235,1063,accepted,2026-02-06 08:06:00
236,1063,started,2026-02-06 09:06:00
237,1063,completed,2026-02-06 10:10:00
238,1064,requested,2026-02-08 08:09:00
239,1064,accepted,2026-02-08 08:09:00
240,1064,started,2026-02-08 09:09:00
241,1065,requested,2026-02-10 08:12:00
242,1065,accepted,2026-02-10 08:12:00
243,1065,started,2026-02-10 09:12:00
244,1065,completed,2026-02-10 10:20:00
245,1066,requested,2026-02-12 08:15:00
246,1066,accepted,2026-02-12 08:15:00
247,1066,started,2026-02-12 09:15:00
248,1066,completed,2026-02-12 10:25:00
249,1067,requested,2026-02-14 08:18:00
250,1067,accepted,2026-02-14 08:18:00
251,1067,started,2026-02-14 09:18:00
252,1067,completed,2026-02-14 10:30:00
253,1068,requested,2026-02-16 08:21:00
254,1068,accepted,2026-02-16 08:21:00
255,1068,started,2026-02-16 09:21:00
256,1069,requested,2026-02-18 08:24:00
257,1069,accepted,2026-02-18 08:24:00
258,1069,started,2026-02-18 09:24:00
259,1069,completed,2026-02-18 10:40:00
260,1070,requested,2026-02-20 08:27:00
261,1070,accepted,2026-02-20 08:27:00
262,1070,started,2026-02-20 09:27:00
263,1070,completed,2026-02-20 10:45:00
264,1071,requested,2026-02-22 08:30:00
265,1071,accepted,2026-02-22 08:30:00
266,1071,started,2026-02-22 09:30:00
267,1071,completed,2026-02-22 10:50:00
268,1072,requested,2026-02-24 08:33:00
269,1072,accepted,2026-02-24 08:33:00
270,1072,started,2026-02-24 09:33:00
271,1073,requested,2026-02-26 08:36:00
272,1073,accepted,2026-02-26 08:36:00
273,1073,started,2026-02-26 09:36:00
274,1073,completed,2026-02-26 10:00:00
275,1074,requested,2026-02-28 08:39:00
276,1074,accepted,2026-02-28 08:39:00
277,1074,started,2026-02-28 09:39:00
278,1074,completed,2026-02-28 10:05:00
279,1075,requested,2026-03-02 08:42:00
280,1075,accepted,2026-03-02 08:42:00
281,1075,started,2026-03-02 09:42:00
282,1075,completed,2026-03-02 10:10:00
283,1076,requested,2026-03-04 08:45:00
284,1076,accepted,2026-03-04 08:45:00
285,1076,started,2026-03-04 09:45:00
286,1077,requested,2026-03-06 08:48:00
287,1077,accepted,2026-03-06 08:48:00
288,1077,started,2026-03-06 09:48:00
289,1077,completed,2026-03-06 10:20:00
290,1078,requested,2026-03-08 08:51:00
291,1078,accepted,2026-03-08 08:51:00
292,1078,started,2026-03-08 09:51:00
293,1078,completed,2026-03-08 10:25:00
294,1079,requested,2026-03-10 08:54:00
295,1079,accepted,2026-03-10 08:54:00
296,1079,started,2026-03-10 09:54:00
297,1079,completed,2026-03-10 10:30:00
298,1080,requested,2026-03-12 08:57:00
299,1080,accepted,2026-03-12 08:57:00
300,1080,started,2026-03-12 09:57:00
301,1081,requested,2026-03-14 08:00:00
302,1081,accepted,2026-03-14 08:00:00
303,1081,started,2026-03-14 09:00:00
304,1081,completed,2026-03-14 10:40:00
305,1082,requested,2026-03-16 08:03:00
306,1082,accepted,2026-03-16 08:03:00
307,1082,started,2026-03-16 09:03:00
308,1082,completed,2026-03-16 10:45:00
309,1083,requested,2026-03-18 08:06:00
310,1083,accepted,2026-03-18 08:06:00
311,1083,started,2026-03-18 09:06:00
312,1083,completed,2026-03-18 10:50:00
313,1084,requested,2026-03-20 08:09:00
314,1084,accepted,2026-03-20 08:09:00
315,1084,started,2026-03-20 09:09:00
316,1085,requested,2026-03-22 08:12:00
317,1085,accepted,2026-03-22 08:12:00
318,1085,started,2026-03-22 09:12:00
319,1085,completed,2026-03-22 10:00:00
320,1086,requested,2026-03-24 08:15:00
321,1086,accepted,2026-03-24 08:15:00
322,1086,started,2026-03-24 09:15:00
323,1086,completed,2026-03-24 10:05:00
324,1087,requested,2026-03-26 08:18:00
325,1087,accepted,2026-03-26 08:18:00
326,1087,started,2026-03-26 09:18:00
327,1087,completed,2026-03-26 10:10:00
328,1088,requested,2026-03-28 08:21:00
329,1088,accepted,2026-03-28 08:21:00
330,1088,started,2026-03-28 09:21:00
331,1089,requested,2026-01-01 08:24:00
332,1089,accepted,2026-01-01 08:24:00
333,1089,started,2026-01-01 09:24:00
334,1089,completed,2026-01-01 10:20:00
335,1090,requested,2026-01-03 08:27:00
336,1090,accepted,2026-01-03 08:27:00
337,1090,started,2026-01-03 09:27:00
338,1090,completed,2026-01-03 10:25:00
339,1091,requested,2026-01-05 08:30:00
340,1091,accepted,2026-01-05 08:30:00
341,1091,started,2026-01-05 09:30:00
342,1091,completed,2026-01-05 10:30:00
343,1092,requested,2026-01-07 08:33:00
344,1092,accepted,2026-01-07 08:33:00
345,1092,started,2026-01-07 09:33:00
346,1093,requested,2026-01-09 08:36:00
347,1093,accepted,2026-01-09 08:36:00
348,1093,started,2026-01-09 09:36:00
349,1093,completed,2026-01-09 10:40:00
350,1094,requested,2026-01-11 08:39:00
351,1094,accepted,2026-01-11 08:39:00
352,1094,started,2026-01-11 09:39:00
353,1094,completed,2026-01-11 10:45:00
354,1095,requested,2026-01-13 08:42:00
355,1095,accepted,2026-01-13 08:42:00
356,1095,started,2026-01-13 09:42:00
357,1095,completed,2026-01-13 10:50:00
358,1096,requested,2026-01-15 08:45:00
359,1096,accepted,2026-01-15 08:45:00
360,1096,started,2026-01-15 09:45:00
361,1097,requested,2026-01-17 08:48:00
362,1097,accepted,2026-01-17 08:48:00
363,1097,started,2026-01-17 09:48:00
364,1097,completed,2026-01-17 10:00:00
365,1098,requested,2026-01-19 08:51:00
366,1098,accepted,2026-01-19 08:51:00
367,1098,started,2026-01-19 09:51:00
368,1098,completed,2026-01-19 10:05:00
369,1099,requested,2026-01-21 08:54:00
370,1099,accepted,2026-01-21 08:54:00
371,1099,started,2026-01-21 09:54:00
372,1099,completed,2026-01-21 10:10:00
373,1100,requested,2026-01-23 08:57:00
374,1100,accepted,2026-01-23 08:57:00
375,1100,started,2026-01-23 09:57:00
376,1101,requested,2026-01-25 08:00:00
377,1101,accepted,2026-01-25 08:00:00
378,1101,started,2026-01-25 09:00:00
379,1101,completed,2026-01-25 10:20:00
380,1102,requested,2026-01-27 08:03:00
381,1102,accepted,2026-01-27 08:03:00
382,1102,started,2026-01-27 09:03:00
383,1102,completed,2026-01-27 10:25:00
384,1103,requested,2026-01-29 08:06:00
385,1103,accepted,2026-01-29 08:06:00
386,1103,started,2026-01-29 09:06:00
387,1103,completed,2026-01-29 10:30:00
388,1104,requested,2026-01-31 08:09:00
389,1104,accepted,2026-01-31 08:09:00
390,1104,started,2026-01-31 09:09:00
391,1105,requested,2026-02-02 08:12:00
392,1105,accepted,2026-02-02 08:12:00
393,1105,started,2026-02-02 09:12:00
394,1105,completed,2026-02-02 10:40:00
395,1106,requested,2026-02-04 08:15:00
396,1106,accepted,2026-02-04 08:15:00
397,1106,started,2026-02-04 09:15:00
398,1106,completed,2026-02-04 10:45:00
399,1107,requested,2026-02-06 08:18:00
400,1107,accepted,2026-02-06 08:18:00
401,1107,started,2026-02-06 09:18:00
402,1107,completed,2026-02-06 10:50:00
403,1108,requested,2026-02-08 08:21:00
404,1108,accepted,2026-02-08 08:21:00
405,1108,started,2026-02-08 09:21:00
406,1109,requested,2026-02-10 08:24:00
407,1109,accepted,2026-02-10 08:24:00
408,1109,started,2026-02-10 09:24:00
409,1109,completed,2026-02-10 10:00:00
410,1110,requested,2026-02-12 08:27:00
411,1110,accepted,2026-02-12 08:27:00
412,1110,started,2026-02-12 09:27:00
413,1110,completed,2026-02-12 10:05:00
414,1111,requested,2026-02-14 08:30:00
415,1111,accepted,2026-02-14 08:30:00
416,1111,started,2026-02-14 09:30:00
417,1111,completed,2026-02-14 10:10:00
418,1112,requested,2026-02-16 08:33:00
419,1112,accepted,2026-02-16 08:33:00
420,1112,started,2026-02-16 09:33:00
421,1113,requested,2026-02-18 08:36:00
422,1113,accepted,2026-02-18 08:36:00
423,1113,started,2026-02-18 09:36:00
424,1113,completed,2026-02-18 10:20:00
425,1114,requested,2026-02-20 08:39:00
426,1114,accepted,2026-02-20 08:39:00
427,1114,started,2026-02-20 09:39:00
428,1114,completed,2026-02-20 10:25:00
429,1115,requested,2026-02-22 08:42:00
430,1115,accepted,2026-02-22 08:42:00
431,1115,started,2026-02-22 09:42:00
432,1115,completed,2026-02-22 10:30:00
433,1116,requested,2026-02-24 08:45:00
434,1116,accepted,2026-02-24 08:45:00
435,1116,started,2026-02-24 09:45:00
436,1117,requested,2026-02-26 08:48:00
437,1117,accepted,2026-02-26 08:48:00
438,1117,started,2026-02-26 09:48:00
439,1117,completed,2026-02-26 10:40:00
440,1118,requested,2026-02-28 08:51:00
441,1118,accepted,2026-02-28 08:51:00
442,1118,started,2026-02-28 09:51:00
443,1118,completed,2026-02-28 10:45:00
444,1119,requested,2026-03-02 08:54:00
445,1119,accepted,2026-03-02 08:54:00
446,1119,started,2026-03-02 09:54:00
447,1119,completed,2026-03-02 10:50:00
448,1120,requested,2026-03-04 08:57:00
449,1120,accepted,2026-03-04 08:57:00
450,1120,started,2026-03-04 09:57:00
