ride_id,rider_id,driver_id,city,ride_date,distance_km,fare_amount,status
1032,R008,D016,West City,2026-03-04,12.3,281.4,Cancelled
1033,R015,D001,North City,2026-03-06,13.6,304.8,Completed
1034,R022,D006,South City,2026-03-08,14.9,328.2,Completed
1035,R029,D011,East City,2026-03-10,16.2,351.6,Completed
1036,R006,D016,West City,2026-03-12,2.5,130.0,Cancelled
1037,R013,D001,North City,2026-03-14,3.8,128.4,Completed
1038,R020,D006,South City,2026-03-16,5.1,151.8,Completed
1039,R027,D011,East City,2026-03-18,6.4,175.2,Completed
1040,R004,D016,West City,2026-03-20,7.7,198.6,Cancelled
1041,R011,D001,North City,2026-03-22,9.0,247.0,Completed
1042,R018,D006,South City,2026-03-24,10.3,245.4,Completed
1043,R025,D011,East City,2026-03-26,11.6,268.8,Completed
1044,R002,D016,West City,2026-03-28,12.9,292.2,Cancelled
1045,R009,D001,North City,2026-01-01,14.2,315.6,Completed
1046,R016,D006,South City,2026-01-03,15.5,364.0,Completed
1047,R023,D011,East City,2026-01-05,16.8,362.4,Completed
1048,R030,D016,West City,2026-01-07,3.1,115.8,Cancelled
1049,R007,D001,North City,2026-01-09,4.4,139.2,Completed
1050,R014,D006,South City,2026-01-11,5.7,162.6,Completed
1051,R021,D011,East City,2026-01-13,7.0,211.0,Completed
1052,R028,D016,West City,2026-01-15,8.3,209.4,Cancelled
1053,R005,D001,North City,2026-01-17,9.6,232.8,Completed
1054,R012,D006,South City,2026-01-19,10.9,256.2,Completed
1055,R019,D011,East City,2026-01-21,12.2,279.6,Completed
1056,R026,D016,West City,2026-01-23,13.5,328.0,Cancelled
1057,R003,D001,North City,2026-01-25,14.8,326.4,Completed
1058,R010,D006,South City,2026-01-27,16.1,349.8,Completed
1059,R017,D011,East City,2026-01-29,2.4,103.2,Completed
1060,R024,D016,West City,2026-01-31,3.7,126.6,Cancelled
1061,R001,D001,North City,2026-02-02,5.0,175.0,Completed
1062,R008,D006,South City,2026-02-04,6.3,173.4,Completed
1063,R015,D011,East City,2026-02-06,7.6,196.8,Completed
1064,R022,D016,West City,2026-02-08,8.9,220.2,Cancelled
1065,R029,D001,North City,2026-02-10,10.2,243.6,Completed
1066,R006,D006,South City,2026-02-12,11.5,292.0,Completed
1067,R013,D011,East City,2026-02-14,12.8,290.4,Completed
1068,R020,D016,West City,2026-02-16,14.1,313.8,Cancelled
1069,R027,D001,North City,2026-02-18,15.4,337.2,Completed
1070,R004,D006,South City,2026-02-20,16.7,360.6,Completed
1071,R011,D011,East City,2026-02-22,3.0,139.0,Completed
1072,R018,D016,West City,2026-02-24,4.3,137.4,Cancelled
1073,R025,D001,North City,2026-02-26,5.6,160.8,Completed
1074,R002,D006,South City,2026-02-28,6.9,184.2,Completed
1075,R009,D011,East City,2026-03-02,8.2,207.6,Completed
1076,R016,D016,West City,2026-03-04,9.5,256.0,Cancelled
1077,R023,D001,North City,2026-03-06,10.8,254.4,Completed
1078,R030,D006,South City,2026-03-08,12.1,277.8,Completed
1079,R007,D011,East City,2026-03-10,13.4,301.2,Completed
1080,R014,D016,West City,2026-03-12,14.7,324.6,Cancelled
1081,R021,D001,North City,2026-03-14,16.0,373.0,Completed
1082,R028,D006,South City,2026-03-16,2.3,101.4,Completed
1083,R005,D011,East City,2026-03-18,3.6,124.8,Completed
1084,R012,D016,West City,2026-03-20,4.9,148.2,Cancelled
1085,R019,D001,North City,2026-03-22,6.2,171.6,Completed
1086,R026,D006,South City,2026-03-24,7.5,220.0,Completed
1087,R003,D011,East City,2026-03-26,8.8,218.4,Completed
1088,R010,D016,West City,2026-03-28,10.1,241.8,Cancelled
1089,R017,D001,North City,2026-01-01,11.4,265.2,Completed
1090,R024,D006,South City,2026-01-03,12.7,288.6,Completed
1091,R001,D011,East City,2026-01-05,14.0,337.0,Completed
1092,R008,D016,West City,2026-01-07,15.3,335.4,Cancelled
1093,R015,D001,North City,2026-01-09,16.6,358.8,Completed
1094,R022,D006,South City,2026-01-11,2.9,112.2,Completed
1095,R029,D011,East City,2026-01-13,4.2,135.6,Completed
1096,R006,D016,West City,2026-01-15,5.5,184.0,Cancelled
1097,R013,D001,North City,2026-01-17,6.8,182.4,Completed
1098,R020,D006,South City,2026-01-19,8.1,205.8,Completed
1099,R027,D011,East City,2026-01-21,9.4,229.2,Completed
1100,R004,D016,West City,2026-01-23,10.7,252.6,Cancelled
1101,R011,D001,North City,2026-01-25,12.0,301.0,Completed
1102,R018,D006,South City,2026-01-27,13.3,299.4,Completed
1103,R025,D011,East City,2026-01-29,14.6,322.8,Completed
1104,R002,D016,West City,2026-01-31,15.9,346.2,Cancelled
1105,R009,D001,North City,2026-02-02,2.2,99.6,Completed
1106,R016,D006,South City,2026-02-04,3.5,148.0,Completed
1107,R023,D011,East City,2026-02-06,4.8,146.4,Completed
1108,R030,D016,West City,2026-02-08,6.1,169.8,Cancelled
1109,R007,D001,North City,2026-02-10,7.4,193.2,Completed
1110,R014,D006,South City,2026-02-12,8.7,216.6,Completed
1111,R021,D011,East City,2026-02-14,10.0,265.0,Completed
1112,R028,D016,West City,2026-02-16,11.3,263.4,Cancelled
1113,R005,D001,North City,2026-02-18,12.6,286.8,Completed
1114,R012,D006,South City,2026-02-20,13.9,310.2,Completed
1115,R019,D011,East City,2026-02-22,15.2,333.6,Completed
1116,R026,D016,West City,2026-02-24,16.5,382.0,Cancelled
1117,R003,D001,North City,2026-02-26,2.8,110.4,Completed
1118,R010,D006,South City,2026-02-28,4.1,133.8,Completed
1119,R017,D011,East City,2026-03-02,5.4,157.2,Completed
1120,R024,D016,West City,2026-03-04,6.7,180.6,Cancelled
